image_path,level,qc_pass,mask_choice,boundary_margin_deficit_ratio,boundary_contour_roughness,boundary_notch_count,boundary_notch_density,boundary_notch_depth_mean,hole_count,hole_area_ratio,hole_mean_size,colour_pct_necrotic,colour_pct_chlorotic,colour_pct_pale_patch,colour_pct_healthy_green,colour_lab_a_median,colour_lab_a_iqr,colour_lab_b_median,colour_lab_b_iqr,scar_tissue_ratio,miner_trail_length_norm,miner_trail_coverage_pct,miner_trail_mean_tortuosity,miner_trail_count,texture_h_glcm_contrast_mean,texture_h_glcm_contrast_std,texture_h_glcm_homogeneity_mean,texture_h_glcm_homogeneity_std,texture_h_glcm_energy_mean,texture_h_glcm_energy_std,texture_h_glcm_correlation_mean,texture_h_glcm_correlation_std,texture_h_lbp_uniformity,texture_h_lbp_entropy,ldsi_boundary_sub,ldsi_hole_sub,ldsi_colour_sub,ldsi_scar_sub,ldsi_miner_sub,ldsi_score
dataset\health\nil_awariya\healthy\bottom\image_01.jpg,healthy,True,warped,0.035151056849089514,1.1865108976705778,0,0.0,0.0,1,0.0007290755322251386,15.0,57.64071157771945,0.00972100709633518,0.07290755322251385,42.276659861961704,120.0,3.0,139.0,3.0,0.30526315789473685,0.0,0.0,0.0,0,8.747123240656132,2.2742744288857812,0.7684973101917763,0.029965361660687317,0.637481496017297,0.01277679168154895,0.5286154218355748,0.12137481974900859,0.5674637892485386,2.756508653711151,3.658513863910688,9.06931078059687,19.2411133793461,30.526315789473685,0.0,12.499050762665469
dataset\health\nil_awariya\healthy\bottom\image_02.jpg,healthy,True,warped,0.03491057101483308,1.1931733447628556,0,0.0,0.0,0,0.0,0.0,49.45190156599553,0.13982102908277405,0.005592841163310962,50.40268456375839,120.0,2.0,139.0,3.0,0.0,0.0,0.0,0.0,0,8.364611221622546,1.9491662251383355,0.8123507367259843,0.025223038618425193,0.6928781015952414,0.01234820524158497,0.461661154806795,0.12376080093700562,0.5696868008948227,2.780110822336957,3.7393302973325113,0.0,16.532438478747206,0.0,0.0,4.054353755215944
dataset\health\nil_awariya\healthy\bottom\image_03.jpg,healthy,True,warped,0.010983981693363844,1.2335117712739132,0,0.0,0.0,2,0.0008029118938015202,7.5,37.153409699175675,0.021410983834707204,0.03211647575206081,62.79306284123756,119.0,3.0,142.0,4.0,0.2971098265895954,0.0,0.0,0.0,0,7.927229371112524,2.0152344990751665,0.783370184285556,0.031034658114929815,0.6479704209202367,0.012895015967845383,0.4806813291421994,0.13055948976898143,0.5695321700031811,2.779726789802954,3.4796230067643044,9.177604110908897,12.402312386254147,29.71098265895954,0.0,10.954104432577378
dataset\health\nil_awariya\damaged_low\bottom\image_01.jpg,damaged_low,True,warped,0.04688979083729917,1.1922776864229254,0,0.0,0.0,4,0.01245262587980509,69.0,30.82476087348854,0.13986645009926008,0.14437827107020393,68.890994405342,119.0,2.0,141.0,4.0,0.31075867981140165,0.0,0.0,0.0,0,5.995454645400919,1.481113736962064,0.7445649418487612,0.0316799804039061,0.5680042954056179,0.01269453662210507,0.6208178587925767,0.09240455435794742,0.5451633279191236,2.9723601017785732,4.126695513548978,26.2638512903808,10.369668531552668,31.075867981140163,0.0,14.367216663324522
dataset\health\nil_awariya\damaged_low\bottom\image_02.jpg,damaged_low,True,warped,0.03932127616338143,1.171557743946067,0,0.0,0.0,0,0.0,0.0,48.45037803964308,0.0,0.020434575301409987,51.52918738505552,120.0,2.0,141.0,3.0,0.19850187265917604,0.0,0.0,0.0,0,5.549734440276515,1.2795514364202418,0.7603172004985551,0.026534542778027272,0.6230899859019857,0.012460759957574856,0.48102711401870024,0.11721461578131909,0.5750970642326425,2.7521124312824132,3.598145791393607,0.0,16.15693753831483,19.850187265917604,0.0,7.921054119125207
dataset\health\nil_awariya\damaged_low\bottom\image_03.jpg,damaged_low,True,warped,0.08188430229757719,1.1991035159933152,0,0.0,0.0,5,0.01981002374703162,63.4,57.811523559555056,1.6497937757780277,0.42494688163979505,40.113735783027124,121.0,2.0,139.0,4.0,0.37155963302752293,0.0,0.0,0.0,0,8.341017773383824,2.0696530326481635,0.759143799351208,0.027655170445724304,0.6299103675034685,0.012015785937102669,0.48845369623662527,0.12458693243771826,0.561742282214688,2.827470102900327,5.384190289830109,30.0,19.962088072324295,37.15596330275229,0.0,18.500448332981343
dataset\health\nil_awariya\damaged_mid\bottom\image_01.jpg,damaged_mid,True,warped,0.042047805608134876,1.2029840569668926,0,0.0,0.0,12,0.0414171930788245,125.66666666666667,11.70282889316122,0.01922548750343312,0.36253776435045315,87.91540785498489,119.0,3.0,145.0,6.0,0.21720902375723697,1.07958509735102,2.1614940950288384,2.502468856332774,4,7.930822340113794,2.327432371092367,0.7104444244517809,0.03252903086851318,0.531608024195786,0.010403245805054693,0.7428975672908581,0.07467303958217089,0.5267234276297577,3.076190075280591,4.108047613163063,32.07085965394123,4.028197381671702,21.720902375723696,20.52954610212037,16.491510625324015
dataset\health\nil_awariya\damaged_mid\bottom\image_02.jpg,damaged_mid,True,warped,0.07693845097715482,1.160540705793576,0,0.0,0.0,10,0.01734264184397163,62.6,38.325576241134755,0.07757092198581561,0.17176418439716312,61.42508865248227,120.0,2.0,141.0,5.0,0.19673776662484316,0.0,0.0,0.0,0,8.352670485512462,2.2528647148370826,0.7321678397264544,0.02862259395832236,0.5668223001298922,0.010330129195203838,0.6673994218692607,0.08874508216694767,0.5446863918439566,2.9653071666681035,4.705157776486174,30.0,12.858303782505912,19.673776662484315,0.0,13.44744764429528
dataset\health\nil_awariya\damaged_mid\bottom\image_03.jpg,damaged_mid,True,warped,0.0172217034962133,1.317136436253459,0,0.0,0.0,6,0.0391114220745146,186.33333333333334,36.00839601189435,0.0,0.2693720482770684,63.722231939828575,120.0,3.0,141.0,4.0,0.336558931681827,0.1005494786466511,0.2099002973587546,1.3274769760531515,1,7.615565984477076,2.139004448829946,0.7336492266376541,0.03132338309425102,0.5727727280953835,0.012323935449362857,0.6141790418966017,0.10710061312926061,0.5401434318698429,2.9596797021269223,4.802542599919897,30.0,12.092589353390473,33.6558931681827,1.9764501447772638,16.505495053254066
dataset\health\nil_awariya\damaged_high\bottom\image_01.jpg,damaged_high,True,warped,0.10302081538795718,1.2235125433135745,0,0.0,0.0,9,0.02412286439391957,102.44444444444444,50.69464430548651,0.0,0.14389995028910807,49.161455744224384,120.0,2.0,139.0,3.0,0.3191754043006931,0.0,0.0,0.0,0,6.435251272732871,1.779075597281035,0.7629391190223502,0.029675654360990414,0.5854477900742393,0.010479281023270516,0.595346476093932,0.11077375876429756,0.5393108500562377,2.9778319559811903,6.414194423779566,30.0,16.946181418591873,31.91754043006931,0.0,17.05558325448815
