leaf_id,species,level,n_features_elevated
beli__damaged_high__image_11,beli,high,5
beli__damaged_high__image_04,beli,high,3
beli__damaged_high__image_08,beli,high,3
beli__damaged_high__image_01,beli,high,2
beli__damaged_high__image_07,beli,high,13
beli__damaged_high__image_02,beli,high,5
beli__damaged_high__image_05,beli,high,5
beli__damaged_high__image_09,beli,high,7
beli__damaged_high__test_2,beli,high,1
beli__damaged_high__test_3,beli,high,10
beli__damaged_high__image_15,beli,high,8
beli__damaged_high__image_14,beli,high,9
beli__damaged_low__image_02,beli,low,0
beli__damaged_low__image_06,beli,low,1
beli__damaged_low__test_1,beli,low,3
beli__damaged_low__image_05,beli,low,1
beli__damaged_low__image_11,beli,low,1
beli__damaged_low__image_17,beli,low,4
beli__damaged_mid__image_01,beli,mid,0
beli__damaged_mid__image_02,beli,mid,1
beli__damaged_mid__image_04,beli,mid,4
beli__damaged_mid__image_03,beli,mid,2
beli__damaged_mid__image_05,beli,mid,3
beli__damaged_mid__test_2,beli,mid,5
beli__damaged_mid__test_3,beli,mid,5
beli__damaged_mid__image_07,beli,mid,4
beli__damaged_mid__image_06,beli,mid,7
beli__damaged_mid__image_08,beli,mid,3
beli__damaged_mid__image_10,beli,mid,2
beli__damaged_mid__image_12,beli,mid,5
beli__healthy__image_03,beli,healthy,1
beli__healthy__image_01,beli,healthy,2
beli__healthy__image_02,beli,healthy,1
beli__healthy__image_04,beli,healthy,5
beli__healthy__image_05,beli,healthy,1
beli__healthy__image_06,beli,healthy,0
beli__healthy__image_07,beli,healthy,4
beli__healthy__image_08,beli,healthy,2
beli__healthy__image_09,beli,healthy,2
beli__healthy__image_11,beli,healthy,2
beli__healthy__image_10,beli,healthy,3
beli__healthy__image_12,beli,healthy,3
beli__healthy__image_13,beli,healthy,1
beli__healthy__image_14,beli,healthy,5
beli__healthy__image_15,beli,healthy,4
beli__healthy__image_17,beli,healthy,4
beli__healthy__image_16,beli,healthy,2
beli__healthy__image_19,beli,healthy,4
beli__healthy__image_18,beli,healthy,3
beli__healthy__image_20,beli,healthy,0
beli__healthy__test_001,beli,healthy,0
beli__healthy__test_002,beli,healthy,1
beli__healthy__image_21,beli,healthy,3
beli__healthy__image_22,beli,healthy,1
beli__healthy__test_003,beli,healthy,1
beli__healthy__test_004,beli,healthy,3
beli__healthy__test_005,beli,healthy,1
beli__healthy__image_23,beli,healthy,3
beli__healthy__image_25,beli,healthy,0
beli__healthy__image_24,beli,healthy,0
kalawal__damaged_high__image_02,kalawal,high,7
kalawal__damaged_high__image_05,kalawal,high,1
kalawal__damaged_high__image_01,kalawal,high,11
kalawal__damaged_high__image_03,kalawal,high,6
kalawal__damaged_high__image_06,kalawal,high,2
kalawal__damaged_high__test_1,kalawal,high,9
kalawal__damaged_high__image_07,kalawal,high,3
kalawal__damaged_high__test_2,kalawal,high,2
kalawal__damaged_high__image_09,kalawal,high,14
kalawal__damaged_high__image_10,kalawal,high,1
kalawal__damaged_high__image_11,kalawal,high,3
kalawal__damaged_high__image_15,kalawal,high,6
kalawal__damaged_low__image_01,kalawal,low,0
kalawal__damaged_low__test_2,kalawal,low,2
kalawal__damaged_low__image_02,kalawal,low,1
kalawal__damaged_low__image_03,kalawal,low,1
kalawal__damaged_low__image_04,kalawal,low,9
kalawal__damaged_low__image_08,kalawal,low,4
kalawal__damaged_mid__image_03,kalawal,mid,1
kalawal__damaged_mid__image_04,kalawal,mid,2
kalawal__damaged_mid__image_08,kalawal,mid,2
kalawal__damaged_mid__image_07,kalawal,mid,7
kalawal__damaged_mid__image_05,kalawal,mid,12
kalawal__damaged_mid__image_11,kalawal,mid,1
kalawal__damaged_mid__test_1,kalawal,mid,2
kalawal__damaged_mid__image_10,kalawal,mid,4
kalawal__damaged_mid__test_2,kalawal,mid,1
kalawal__damaged_mid__image_12,kalawal,mid,3
kalawal__damaged_mid__image_14,kalawal,mid,9
kalawal__damaged_mid__image_15,kalawal,mid,1
kalawal__healthy__image_01,kalawal,healthy,1
kalawal__healthy__image_04,kalawal,healthy,0
kalawal__healthy__image_05,kalawal,healthy,0
kalawal__healthy__image_06,kalawal,healthy,5
kalawal__healthy__image_07,kalawal,healthy,8
kalawal__healthy__image_08,kalawal,healthy,2
kalawal__healthy__image_09,kalawal,healthy,4
kalawal__healthy__image_10,kalawal,healthy,0
kalawal__healthy__image_12,kalawal,healthy,5
kalawal__healthy__image_13,kalawal,healthy,1
kalawal__healthy__image_14,kalawal,healthy,0
kalawal__healthy__image_15,kalawal,healthy,3
kalawal__healthy__image_16,kalawal,healthy,3
kalawal__healthy__image_18,kalawal,healthy,1
kalawal__healthy__image_21,kalawal,healthy,0
kalawal__healthy__image_22,kalawal,healthy,0
kalawal__healthy__image_23,kalawal,healthy,1
kalawal__healthy__image_25,kalawal,healthy,1
kalawal__healthy__image_26,kalawal,healthy,0
kalawal__healthy__image_27,kalawal,healthy,0
kalawal__healthy__image_28,kalawal,healthy,0
kalawal__healthy__test_001,kalawal,healthy,11
kalawal__healthy__image_29,kalawal,healthy,0
kalawal__healthy__test_002,kalawal,healthy,1
kalawal__healthy__test_003,kalawal,healthy,2
kalawal__healthy__test_004,kalawal,healthy,0
kalawal__healthy__test_005,kalawal,healthy,2
kalawal__healthy__image_30,kalawal,healthy,1
kalawal__healthy__image_31,kalawal,healthy,7
kalawal__healthy__image_32,kalawal,healthy,13
kasthuri_dehi__damaged_high__image_02,kasthuri_dehi,high,4
kasthuri_dehi__damaged_high__image_03,kasthuri_dehi,high,10
kasthuri_dehi__damaged_high__image_04,kasthuri_dehi,high,8
kasthuri_dehi__damaged_high__image_07,kasthuri_dehi,high,8
kasthuri_dehi__damaged_high__image_05,kasthuri_dehi,high,8
kasthuri_dehi__damaged_high__test_1,kasthuri_dehi,high,4
kasthuri_dehi__damaged_high__test_2,kasthuri_dehi,high,9
kasthuri_dehi__damaged_high__image_08,kasthuri_dehi,high,12
kasthuri_dehi__damaged_high__image_11,kasthuri_dehi,high,1
kasthuri_dehi__damaged_high__image_12,kasthuri_dehi,high,8
kasthuri_dehi__damaged_high__image_18,kasthuri_dehi,high,9
kasthuri_dehi__damaged_high__image_20,kasthuri_dehi,high,10
kasthuri_dehi__damaged_low__test_1,kasthuri_dehi,low,2
kasthuri_dehi__damaged_low__image_11,kasthuri_dehi,low,8
kasthuri_dehi__damaged_low__image_12,kasthuri_dehi,low,5
kasthuri_dehi__damaged_low__image_13,kasthuri_dehi,low,15
kasthuri_dehi__damaged_low__image_15,kasthuri_dehi,low,12
kasthuri_dehi__damaged_low__image_14,kasthuri_dehi,low,7
kasthuri_dehi__damaged_mid__image_01,kasthuri_dehi,mid,6
kasthuri_dehi__damaged_mid__image_02,kasthuri_dehi,mid,16
kasthuri_dehi__damaged_mid__image_03,kasthuri_dehi,mid,15
kasthuri_dehi__damaged_mid__test_1,kasthuri_dehi,mid,4
kasthuri_dehi__damaged_mid__image_04,kasthuri_dehi,mid,3
kasthuri_dehi__damaged_mid__image_05,kasthuri_dehi,mid,13
kasthuri_dehi__damaged_mid__test_2,kasthuri_dehi,mid,6
kasthuri_dehi__damaged_mid__image_06,kasthuri_dehi,mid,9
kasthuri_dehi__damaged_mid__image_07,kasthuri_dehi,mid,11
kasthuri_dehi__damaged_mid__image_08,kasthuri_dehi,mid,9
