species,feature,n_healthy,n_high,healthy_median,low_median,mid_median,high_median,effect_size_high_vs_healthy
beli,boundary_notch_density,30,12,0.0,0.0,0.0,0.0,
beli,colour_pct_chlorotic,30,12,0.0,0.0,0.0,0.0,
beli,miner_trail_coverage_pct,30,12,0.0,0.0,0.0,0.0,
beli,miner_trail_count,30,12,0.0,0.0,0.0,0.0,
beli,deform_specular_pct,30,12,0.0,0.0,0.0,0.0,
beli,deform_specular_blob_density,30,12,0.0,0.0,0.0,0.0,
beli,ldsi_miner_sub,30,12,0.0,0.0,0.0,0.0,
kalawal,boundary_notch_density,30,12,0.0,0.0,0.0,0.0,
kalawal,deform_specular_pct,30,12,0.0,0.0,0.0,0.0,
kalawal,deform_specular_blob_density,30,12,0.0,0.0,0.0,0.0,
kasthuri_dehi,boundary_notch_density,30,12,0.0,0.0,0.0,0.0,
kasthuri_dehi,miner_trail_coverage_pct,30,12,0.0,0.0,0.0,0.0,
kasthuri_dehi,miner_trail_count,30,12,0.0,0.0,0.0,0.0,
kasthuri_dehi,deform_specular_pct,30,12,0.0,0.0,0.0,0.0,
kasthuri_dehi,deform_specular_blob_density,30,12,0.0,0.0,0.0,0.0,
kasthuri_dehi,ldsi_miner_sub,30,12,0.0,0.0,0.0,0.0,
kathurupila,boundary_notch_density,30,12,0.0,0.0,0.0,0.0,
kathurupila,miner_trail_coverage_pct,30,12,0.0,0.0,0.0,0.15,
kathurupila,miner_trail_count,30,12,0.0,0.0,0.0,1.0,
kathurupila,deform_specular_pct,30,12,0.0,0.0,0.0,0.0,
kathurupila,deform_specular_blob_density,30,12,0.0,0.0,0.0,0.0,
kathurupila,ldsi_hole_sub,30,12,30.0,30.0,30.0,32.59,
kathurupila,ldsi_miner_sub,30,12,0.0,0.0,0.0,1.345,
kattakumanjal,boundary_notch_density,30,12,0.0,0.0,0.0,0.0,
kattakumanjal,deform_specular_pct,30,12,0.0,0.0,0.0,0.0,
kattakumanjal,deform_specular_blob_density,30,12,0.0,0.0,0.0,0.0,
